MouseID,AgeInDays,Phenotyping
DO-AL-0027,301,grip
DO-AL-0027,485,grip
DO-AL-0027,681,grip
DO-20-1027,146,grip
DO-20-1027,301,grip
DO-20-1027,485,grip
DO-20-1027,681,grip
DO-20-1027,849,grip
DO-20-1027,1039,grip
DO-40-2027,146,grip
DO-40-2027,485,grip
DO-40-2027,681,grip
DO-40-2027,849,grip
DO-40-2027,1039,grip
DO-1D-3027,146,grip
DO-1D-3027,485,grip
DO-1D-3027,681,grip
DO-1D-3027,849,grip
DO-2D-4027,146,grip
DO-2D-4027,485,grip
DO-2D-4027,681,grip
DO-2D-4027,849,grip
DO-2D-4027,1039,grip
DO-AL-0028,146,grip
DO-AL-0028,301,grip
DO-AL-0028,485,grip
DO-AL-0028,681,grip
DO-AL-0028,849,grip
DO-20-1028,146,grip
DO-20-1028,301,grip
DO-20-1028,485,grip
DO-20-1028,681,grip
DO-20-1028,849,grip
DO-40-2028,146,grip
DO-40-2028,485,grip
DO-40-2028,681,grip
DO-40-2028,849,grip
DO-40-2028,1039,grip
DO-1D-3028,146,grip
DO-1D-3028,485,grip
DO-1D-3028,681,grip
DO-1D-3028,849,grip
DO-1D-3028,1039,grip
DO-2D-4028,146,grip
DO-2D-4028,485,grip
DO-2D-4028,681,grip
DO-2D-4028,849,grip
DO-2D-4028,1039,grip
DO-AL-0029,146,grip
DO-AL-0029,301,grip
DO-AL-0029,485,grip
DO-AL-0029,681,grip
DO-20-1029,146,grip
DO-20-1029,301,grip
DO-20-1029,485,grip
DO-20-1029,681,grip
DO-20-1029,849,grip
DO-20-1029,1039,grip
DO-40-2029,146,grip
DO-40-2029,485,grip
DO-40-2029,681,grip
DO-40-2029,849,grip
DO-1D-3029,146,grip
DO-1D-3029,485,grip
DO-1D-3029,681,grip
DO-2D-4029,146,grip
DO-2D-4029,485,grip
DO-2D-4029,681,grip
DO-AL-0030,146,grip
DO-AL-0030,301,grip
DO-AL-0030,485,grip
DO-AL-0030,681,grip
DO-AL-0030,849,grip
DO-AL-0030,1039,grip
DO-20-1030,146,grip
DO-20-1030,301,grip
DO-20-1030,485,grip
DO-20-1030,681,grip
DO-40-2030,146,grip
DO-40-2030,485,grip
DO-40-2030,681,grip
DO-40-2030,849,grip
DO-1D-3030,146,grip
DO-1D-3030,485,grip
DO-1D-3030,681,grip
DO-2D-4030,146,grip
DO-2D-4030,485,grip
DO-2D-4030,681,grip
DO-AL-0031,146,grip
DO-AL-0031,301,grip
DO-AL-0031,485,grip
DO-20-1031,146,grip
DO-1D-3031,146,grip
DO-1D-3031,485,grip
DO-1D-3031,681,grip
DO-1D-3031,849,grip
DO-2D-4031,146,grip
DO-2D-4031,485,grip
DO-2D-4031,681,grip
DO-AL-0032,146,grip
DO-AL-0032,301,grip
DO-AL-0032,485,grip
DO-20-1032,146,grip
DO-20-1032,301,grip
DO-20-1032,485,grip
DO-20-1032,681,grip
DO-40-2032,146,grip
DO-40-2032,485,grip
DO-40-2032,681,grip
DO-40-2032,849,grip
DO-1D-3032,146,grip
DO-1D-3032,485,grip
DO-2D-4032,146,grip
DO-2D-4032,485,grip
DO-2D-4032,681,grip
DO-2D-4032,849,grip
DO-2D-4032,1039,grip
DO-AL-0033,139,grip
DO-AL-0033,310,grip
DO-AL-0033,486,grip
DO-AL-0033,674,grip
DO-AL-0033,849,grip
DO-AL-0033,1038,grip
DO-20-1033,139,grip
DO-20-1033,310,grip
DO-20-1033,486,grip
DO-20-1033,674,grip
DO-20-1033,849,grip
DO-40-2033,139,grip
DO-40-2033,310,grip
DO-40-2033,486,grip
DO-1D-3033,139,grip
DO-2D-4033,139,grip
DO-2D-4033,310,grip
DO-2D-4033,486,grip
DO-2D-4033,674,grip
DO-2D-4033,849,grip
DO-AL-0034,139,grip
DO-AL-0034,310,grip
DO-20-1034,139,grip
DO-20-1034,310,grip
DO-20-1034,486,grip
DO-20-1034,674,grip
DO-40-2034,139,grip
DO-40-2034,310,grip
DO-40-2034,486,grip
DO-40-2034,674,grip
DO-1D-3034,139,grip
DO-1D-3034,310,grip
DO-1D-3034,486,grip
DO-1D-3034,674,grip
DO-2D-4034,139,grip
DO-2D-4034,310,grip
DO-2D-4034,486,grip
DO-2D-4034,674,grip
DO-2D-4034,849,grip
DO-AL-0035,139,grip
DO-AL-0035,310,grip
DO-AL-0035,486,grip
DO-20-1035,139,grip
DO-20-1035,310,grip
DO-20-1035,486,grip
DO-40-2035,139,grip
DO-40-2035,310,grip
DO-40-2035,486,grip
DO-40-2035,674,grip
DO-40-2035,849,grip
DO-1D-3035,139,grip
DO-1D-3035,310,grip
DO-1D-3035,486,grip
DO-1D-3035,674,grip
DO-1D-3035,849,grip
DO-2D-4035,139,grip
DO-2D-4035,310,grip
DO-2D-4035,486,grip
DO-2D-4035,674,grip
DO-2D-4035,849,grip
DO-AL-0036,139,grip
DO-AL-0036,310,grip
DO-AL-0036,486,grip
DO-AL-0036,674,grip
DO-20-1036,139,grip
DO-20-1036,310,grip
DO-20-1036,486,grip
DO-40-2036,139,grip
DO-40-2036,310,grip
DO-40-2036,486,grip
DO-40-2036,674,grip
DO-2D-4036,139,grip
DO-2D-4036,310,grip
DO-2D-4036,486,grip
DO-2D-4036,674,grip
DO-AL-0037,139,grip
DO-AL-0037,310,grip
DO-AL-0037,486,grip
DO-AL-0037,674,grip
DO-20-1037,139,grip
DO-20-1037,310,grip
DO-20-1037,486,grip
DO-20-1037,674,grip
DO-40-2037,139,grip
DO-40-2037,310,grip
DO-40-2037,486,grip
DO-40-2037,674,grip
DO-1D-3037,139,grip
DO-1D-3037,310,grip
DO-1D-3037,486,grip
DO-1D-3037,674,grip
DO-1D-3037,849,grip
DO-2D-4037,139,grip
DO-2D-4037,310,grip
DO-2D-4037,486,grip
DO-2D-4037,674,grip
DO-2D-4037,849,grip
DO-2D-4037,1038,grip
DO-AL-0038,139,grip
DO-AL-0038,310,grip
DO-AL-0038,486,grip
DO-20-1038,139,grip
DO-20-1038,310,grip
DO-40-2038,139,grip
DO-40-2038,310,grip
DO-40-2038,486,grip
DO-40-2038,674,grip
DO-1D-3038,139,grip
DO-1D-3038,310,grip
DO-1D-3038,486,grip
DO-1D-3038,674,grip
DO-1D-3038,849,grip
DO-2D-4038,139,grip
DO-2D-4038,310,grip
DO-AL-0039,139,grip
DO-AL-0039,310,grip
DO-AL-0039,486,grip
DO-20-1039,139,grip
DO-20-1039,310,grip
DO-20-1039,486,grip
DO-20-1039,674,grip
DO-20-1039,849,grip
DO-20-1039,1038,grip
DO-40-2039,139,grip
DO-40-2039,310,grip
DO-40-2039,486,grip
DO-40-2039,674,grip
DO-40-2039,849,grip
DO-40-2039,1038,grip
DO-1D-3039,139,grip
DO-1D-3039,310,grip
DO-1D-3039,486,grip
DO-1D-3039,674,grip
DO-1D-3039,849,grip
DO-1D-3039,1038,grip
DO-2D-4039,139,grip
DO-2D-4039,310,grip
DO-2D-4039,486,grip
DO-2D-4039,674,grip
DO-2D-4039,849,grip
DO-2D-4039,1038,grip
DO-AL-0040,139,grip
DO-AL-0040,310,grip
DO-AL-0040,486,grip
DO-AL-0040,674,grip
DO-AL-0040,849,grip
DO-20-1040,139,grip
DO-20-1040,310,grip
DO-20-1040,486,grip
DO-20-1040,674,grip
DO-20-1040,849,grip
DO-20-1040,1038,grip
DO-40-2040,139,grip
DO-40-2040,310,grip
DO-40-2040,486,grip
DO-40-2040,674,grip
DO-40-2040,849,grip
DO-1D-3040,139,grip
DO-1D-3040,310,grip
DO-1D-3040,486,grip
DO-1D-3040,674,grip
DO-1D-3040,849,grip
DO-1D-3040,1038,grip
DO-2D-4040,139,grip
DO-2D-4040,310,grip
DO-2D-4040,486,grip
DO-2D-4040,674,grip
DO-AL-0041,139,grip
DO-AL-0041,310,grip
DO-AL-0041,486,grip
DO-AL-0041,674,grip
DO-20-1041,139,grip
DO-20-1041,310,grip
DO-20-1041,486,grip
DO-20-1041,674,grip
DO-20-1041,849,grip
DO-40-2041,139,grip
DO-1D-3041,139,grip
DO-1D-3041,310,grip
DO-1D-3041,486,grip
DO-2D-4041,139,grip
DO-2D-4041,310,grip
DO-2D-4041,486,grip
DO-2D-4041,674,grip
DO-2D-4041,849,grip
DO-AL-0042,139,grip
DO-AL-0042,310,grip
DO-AL-0042,486,grip
DO-AL-0042,674,grip
DO-20-1042,139,grip
DO-20-1042,310,grip
DO-20-1042,486,grip
DO-20-1042,674,grip
DO-20-1042,849,grip
DO-20-1042,1038,grip
DO-1D-3042,139,grip
DO-1D-3042,310,grip
DO-1D-3042,486,grip
DO-2D-4042,139,grip
DO-2D-4042,310,grip
DO-2D-4042,486,grip
DO-2D-4042,674,grip
DO-2D-4042,849,grip
DO-2D-4042,1038,grip
DO-AL-0043,139,grip
DO-AL-0043,310,grip
DO-AL-0043,486,grip
DO-AL-0043,674,grip
DO-AL-0043,849,grip
DO-AL-0043,1038,grip
DO-20-1043,139,grip
DO-20-1043,310,grip
DO-20-1043,486,grip
DO-40-2043,139,grip
DO-40-2043,310,grip
DO-40-2043,486,grip
DO-40-2043,674,grip
DO-40-2043,849,grip
DO-40-2043,1038,grip
DO-1D-3043,139,grip
DO-1D-3043,310,grip
DO-1D-3043,486,grip
DO-1D-3043,674,grip
DO-1D-3043,849,grip
DO-1D-3043,1038,grip
DO-2D-4043,139,grip
DO-2D-4043,310,grip
DO-2D-4043,486,grip
DO-2D-4043,674,grip
DO-2D-4043,849,grip
DO-2D-4043,1038,grip
DO-AL-0044,139,grip
DO-AL-0044,310,grip
DO-20-1044,139,grip
DO-20-1044,310,grip
DO-20-1044,486,grip
DO-20-1044,674,grip
DO-20-1044,849,grip
DO-40-2044,139,grip
DO-40-2044,310,grip
DO-40-2044,486,grip
DO-40-2044,674,grip
DO-1D-3044,139,grip
DO-1D-3044,310,grip
DO-1D-3044,486,grip
DO-1D-3044,674,grip
DO-1D-3044,849,grip
DO-1D-3044,1038,grip
DO-2D-4044,139,grip
DO-2D-4044,310,grip
DO-AL-0045,139,grip
DO-AL-0045,310,grip
DO-AL-0045,486,grip
DO-AL-0045,674,grip
DO-AL-0045,849,grip
DO-20-1045,139,grip
DO-20-1045,310,grip
DO-20-1045,486,grip
DO-20-1045,674,grip
DO-20-1045,849,grip
DO-20-1045,1038,grip
DO-40-2045,139,grip
DO-40-2045,310,grip
DO-40-2045,486,grip
DO-40-2045,674,grip
DO-40-2045,849,grip
DO-40-2045,1038,grip
DO-1D-3045,139,grip
DO-1D-3045,310,grip
DO-1D-3045,486,grip
DO-1D-3045,674,grip
DO-1D-3045,849,grip
DO-1D-3045,1038,grip
DO-2D-4045,139,grip
DO-2D-4045,310,grip
DO-2D-4045,486,grip
DO-2D-4045,674,grip
DO-AL-0046,139,grip
DO-AL-0046,310,grip
DO-AL-0046,486,grip
DO-AL-0046,674,grip
DO-20-1046,139,grip
DO-20-1046,310,grip
DO-20-1046,486,grip
DO-20-1046,674,grip
DO-20-1046,849,grip
DO-40-2046,139,grip
DO-40-2046,310,grip
DO-1D-3046,139,grip
DO-1D-3046,310,grip
DO-2D-4046,139,grip
DO-2D-4046,310,grip
DO-2D-4046,486,grip
DO-2D-4046,674,grip
DO-2D-4046,849,grip
DO-AL-0047,139,grip
DO-AL-0047,310,grip
DO-AL-0047,486,grip
DO-AL-0047,674,grip
DO-20-1047,139,grip
DO-20-1047,310,grip
DO-20-1047,486,grip
DO-20-1047,674,grip
