mouse_id,AL,20,40,1D,2D
DO-20-1168,0,1,0,0,0
DO-20-1169,0,1,0,0,0
DO-20-1170,0,1,0,0,0
DO-20-1171,0,1,0,0,0
DO-20-1172,0,1,0,0,0
DO-20-1173,0,1,0,0,0
DO-20-1174,0,1,0,0,0
DO-20-1175,0,1,0,0,0
DO-20-1176,0,1,0,0,0
DO-20-1177,0,1,0,0,0
DO-20-1178,0,1,0,0,0
DO-20-1179,0,1,0,0,0
DO-20-1180,0,1,0,0,0
DO-20-1181,0,1,0,0,0
DO-20-1182,0,1,0,0,0
DO-20-1183,0,1,0,0,0
DO-20-1184,0,1,0,0,0
DO-20-1185,0,1,0,0,0
DO-20-1186,0,1,0,0,0
DO-20-1187,0,1,0,0,0
DO-20-1188,0,1,0,0,0
DO-20-1189,0,1,0,0,0
DO-20-1190,0,1,0,0,0
DO-20-1191,0,1,0,0,0
DO-20-1192,0,1,0,0,0
DO-2D-4001,0,0,0,0,1
DO-2D-4002,0,0,0,0,1
DO-2D-4003,0,0,0,0,1
DO-2D-4004,0,0,0,0,1
DO-2D-4005,0,0,0,0,1
DO-2D-4006,0,0,0,0,1
DO-2D-4007,0,0,0,0,1
DO-2D-4008,0,0,0,0,1
DO-2D-4009,0,0,0,0,1
DO-2D-4010,0,0,0,0,1
DO-2D-4011,0,0,0,0,1
DO-2D-4012,0,0,0,0,1
DO-2D-4013,0,0,0,0,1
DO-2D-4014,0,0,0,0,1
DO-2D-4015,0,0,0,0,1
DO-2D-4016,0,0,0,0,1
DO-2D-4017,0,0,0,0,1
DO-2D-4018,0,0,0,0,1
DO-2D-4019,0,0,0,0,1
DO-2D-4020,0,0,0,0,1
DO-2D-4021,0,0,0,0,1
DO-2D-4022,0,0,0,0,1
DO-2D-4023,0,0,0,0,1
DO-2D-4024,0,0,0,0,1
DO-2D-4025,0,0,0,0,1
DO-2D-4026,0,0,0,0,1
DO-2D-4027,0,0,0,0,1
DO-2D-4028,0,0,0,0,1
DO-2D-4029,0,0,0,0,1
DO-2D-4030,0,0,0,0,1
DO-2D-4031,0,0,0,0,1
DO-2D-4032,0,0,0,0,1
DO-2D-4033,0,0,0,0,1
DO-2D-4034,0,0,0,0,1
DO-2D-4035,0,0,0,0,1
DO-2D-4036,0,0,0,0,1
DO-2D-4037,0,0,0,0,1
DO-2D-4038,0,0,0,0,1
DO-2D-4039,0,0,0,0,1
DO-2D-4040,0,0,0,0,1
DO-2D-4041,0,0,0,0,1
DO-2D-4042,0,0,0,0,1
DO-2D-4043,0,0,0,0,1
DO-2D-4044,0,0,0,0,1
DO-2D-4045,0,0,0,0,1
DO-2D-4046,0,0,0,0,1
DO-2D-4047,0,0,0,0,1
DO-2D-4048,0,0,0,0,1
